N,종목명,현재가,전일비,등락률,액면가,매출액,영업이익,PER,ROE
1131.0,부산산업,54100.0,상승  400,+0.74%,5000.0,1405.0,72.0,23.66,3.74
1132.0,KB 레버리지 S&P 500 선물 ETN(H),14255.0,하락  35,-0.24%,0.0,,,,
1133.0,신한 레버리지 S&P500 선물 ETN,28480.0,하락  35,-0.12%,0.0,,,,
1134.0,WOORI 단기국공채액티브,51995.0,상승  10,+0.02%,0.0,,,,
1135.0,KBSTAR 게임테마,8845.0,하락  15,-0.17%,0.0,,,,
1136.0,진양화학,3580.0,상승  45,+1.27%,500.0,283.0,-21.0,-20.0,-6.45
1137.0,유니드비티플러스,5320.0,상승  270,+5.35%,1000.0,1688.0,-41.0,28.45,0.45
1138.0,KBSTAR KP달러채권액티브,54225.0,상승  505,+0.94%,0.0,,,,
1139.0,KODEX 미국메타버스나스닥액티브,11375.0,하락  175,-1.52%,0.0,,,,
1140.0,TIGER 미국S&P500배당귀족,11370.0,상승  165,+1.47%,0.0,,,,
1141.0,갤럭시아에스엠,2035.0,하락  30,-1.45%,500.0,330.0,46.0,13.75,4.95
1142.0,KODEX K-신재생에너지액티브,20725.0,상승  170,+0.83%,0.0,,,,
1143.0,삼일씨엔에스,4395.0,하락  55,-1.24%,1000.0,2164.0,52.0,41.07,0.76
1144.0,한익스프레스,4635.0,상승  35,+0.76%,500.0,6684.0,87.0,-2.72,-17.84
1145.0,TIGER 미국배당+3%프리미엄다우존스,10760.0,상승  185,+1.75%,0.0,,,,
1146.0,SJM,3540.0,상승  25,+0.71%,500.0,1989.0,132.0,3.37,9.59
1147.0,솔루스첨단소재1우,3265.0,하락  5,-0.15%,100.0,,,1.48,
1148.0,미래에셋증권우,3920.0,상승  15,+0.38%,5000.0,,,9.12,
1149.0,세원이앤씨,1270.0,보합0,0.00%,500.0,1306.0,-61.0,-1.2,-9.66
1150.0,신한 레버리지 금 선물 ETN,27215.0,상승  485,+1.81%,0.0,,,,
1151.0,ACE 단기채권알파액티브,106660.0,상승  5,0.00%,0.0,,,,
1152.0,선도전기,3000.0,보합0,0.00%,500.0,416.0,-72.0,-10.1,-54.71
1153.0,KODEX 유럽탄소배출권선물ICE(H),11240.0,상승  160,+1.44%,0.0,,,,
1154.0,TIGER 글로벌비만치료제TOP2Plus,10940.0,상승  90,+0.83%,0.0,,,,
1155.0,우진플라임,2680.0,상승  25,+0.94%,500.0,2121.0,91.0,32.68,5.79
1156.0,체시스,1675.0,상승  133,+8.63%,500.0,490.0,46.0,7.13,10.27
1157.0,KBSTAR 국채선물10년인버스,55750.0,보합0,0.00%,0.0,,,,
1158.0,KODEX 차이나H,16370.0,상승  160,+0.99%,0.0,,,,
1159.0,시디즈,26600.0,하락  300,-1.12%,500.0,2001.0,-19.0,19.14,3.81
1160.0,영흥,524.0,상승  13,+2.54%,500.0,5000.0,13.0,-20.96,-3.5
1161.0,KBSTAR 글로벌자산배분액티브,11525.0,상승  25,+0.22%,0.0,,,,
1162.0,티웨이홀딩스,474.0,하락  2,-0.42%,500.0,78.0,-30.0,7.18,2.75
1163.0,미래에셋 홍콩H 선물 ETN(H),10570.0,상승  120,+1.15%,0.0,,,,
1164.0,KODEX 한국대만IT프리미어,23900.0,하락  335,-1.38%,0.0,,,,
1165.0,신한 인버스 2X WTI원유 선물 ETN(H),83.0,상승  2,+2.47%,0.0,,,,
1166.0,모나미,2780.0,상승  45,+1.65%,1000.0,1415.0,-23.0,-7.3,-5.84
1167.0,롯데칠성우,67700.0,하락  100,-0.15%,500.0,,,4.43,
1168.0,미래에셋 0.5X 코스피200 선물 ETN,10390.0,하락  5,-0.05%,0.0,,,,
1169.0,TIGER 차이나HSCEI,9530.0,상승  85,+0.90%,0.0,,,,
1170.0,현대건설우,49200.0,하락  50,-0.10%,5000.0,,,9.87,
1171.0,에쓰씨엔지니어링,1570.0,하락  24,-1.51%,500.0,1360.0,10.0,-15.86,-5.94
